"
Term","
School","Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201390,HM,1,BIB,BIB,110,10011,Biblical Literature I,1100,1150,MWF,READE,211,A,Sheri Klouda,3,3,45,5,,
201390,HM,1,BIB,BIB,110,10013,Biblical Literature I,900,950,MWF,READE,211,A,Richard Smith,3,3,45,0,,YES
201390,HM,1,BIB,BIB,110,10014,Biblical Literature I,800,850,MWF,READE,211,A,Michael Harbin,3,3,45,-3,,YES
201390,HM,1,BIB,BIB,110,10015,Biblical Literature I,1200,1250,MWF,READE,211,A,Richard Smith,3,3,45,0,,YES
201390,HM,1,BIB,BIB,110,10016,Biblical Literature I,1300,1350,MWF,READE,211,A,Sheri Klouda,3,3,45,1,,
201390,HM,1,BIB,BIB,110,10017,Biblical Literature I,1500,1550,MWF,READE,211,A,Joseph Pak,3,3,45,3,,
201390,HM,1,BIB,BIB,110,15813,Biblical Literature I,900,950,MWF,READE,240,A,Sheri Klouda,3,3,45,0,,YES
201390,HM,1,BIB,BIB,210,10018,Biblical Literature II,1200,1250,MWF,EULER,130,A,Edward Meadors,3,3,45,6,,
201390,HM,1,BIB,BIB,210,10021,Biblical Literature II,1500,1550,MWF,READE,238,A,Gregory MaGee,3,3,45,16,,
201390,HM,1,BIB,BIB,210,10920,Biblical Literature II,1400,1450,MWF,READE,238,A,Edward Meadors,3,3,45,3,,
201390,HM,1,BIB,BIB,210,15360,Biblical Literature II,900,950,MWF,READE,238,A,Edward Meadors,3,3,45,0,,YES
201390,HM,1,BIB,BIB,272,10921,Inductive Study of the Bible,1100,1150,MWF,AYRES,212,A,Michael Harbin,3,3,15,2,,
201390,HM,1,BIB,BIB,272,15652,Inductive Study of the Bible,1300,1350,MWF,READE,234,A,Philip Collins,3,3,15,1,,
201390,HM,1,BIB,BIB,331,10672,Pauline Epistles,1400,1450,MWF,READE,127,A,Gregory MaGee,3,3,25,7,,
