"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS",,
201290,SM,1,BIO,BIO,100,14146,General Biology,1100,1150,MWF,NS,121,A,Elizabeth Hasenmyer,4,4,40,8,,
201290,SM,1,BIO,BIO,100L,10062,General Biology-Lab,1200,1350,W,NS,109,B,Garrett Purdy,0,0,19,2,,
201290,SM,1,BIO,BIO,100L,10433,General Biology-Lab,1400,1550,W,NS,109,B,Garrett Purdy,0,0,20,5,,
201290,SM,1,BIO,BIO,101,10064,Principles of Cell Biology,1200,1250,MWF,EULER,109,A,Andrew Whipple,4,4,48,10,,
201290,SM,1,BIO,BIO,101,10066,Principles of Cell Biology,1200,1350,R,EULER,333,B,John Moore,0,0,16,2,,
201290,SM,1,BIO,BIO,101,10067,Principles of Cell Biology,1400,1550,R,EULER,333,B,John Moore,0,0,16,7,,
201290,SM,1,BIO,BIO,101,15709,Principles of Cell Biology,800,950,R,EULER,333,B,John Moore,0,0,16,1,,
201290,SM,1,BIO,BIO,103,12356,Introductory Plant Biology,1400,1450,MW,EULER,109,A,John Moore,3,3,48,3,,
201290,SM,1,BIO,BIO,103L,12879,Introductory Plant Biology Lab,800,950,T,NS,108,B,John Moore,0,0,16,3,,
201290,SM,1,BIO,BIO,103L,15110,Introductory Plant Biology Lab,1200,1350,T,NS,108,B,John Moore,0,0,16,0,,YES
201290,SM,1,BIO,BIO,103L,15710,Introductory Plant Biology Lab,1400,1550,T,NS,108,B,Elizabeth Hasenmyer,0,0,16,0,,YES
201290,SM,1,BIO,BIO,104,14613,Introductory Animal Biology,1300,1350,MW,EULER,130,A,Elizabeth Hasenmyer,3,3,32,5,,
201290,SM,1,BIO,BIO,104L,14614,Introduct Animal Biology Lab,1200,1450,R,NS,108,B,Jan Reber,0,0,16,1,,
201290,SM,1,BIO,BIO,104L,15675,Introduct Animal Biology Lab,1500,1750,R,NS,108,C,Jan Reber,0,0,16,4,,
201290,SM,1,BIO,BIO,203,10073,Principles of Genetics,800,850,MWF,EULER,108,A,Brian Dewar,4,4,24,-2,,YES
