"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED"
201290,SM,1,CSE,COS,104,10657,Comput & Culture-Appl/Cont,1200,1250,F,NS,123,A,Jeffry Cramer,0,0,0,0,,
201290,SM,1,CSE,COS,104,10657,Comput & Culture-Appl/Cont,1200,1250,M,NS,123,A,Jeffry Cramer,2,2,60,1,,
201290,SM,1,CSE,COS,104,10663,Comput & Culture-Appl/Cont,1200,1250,F,NS,123,A,Jeffry Cramer,0,0,0,0,,
201290,SM,1,CSE,COS,104,10663,Comput & Culture-Appl/Cont,1200,1250,W,NS,123,A,Jeffry Cramer,2,2,60,2,,
201290,SM,1,CSE,COS,104,10666,Comput & Culture-Appl/Cont,1500,1550,F,EULER,109,A,Jeffry Cramer,0,0,0,0,,
201290,SM,1,CSE,COS,104,10666,Comput & Culture-Appl/Cont,1500,1550,M,EULER,109,A,Jeffry Cramer,2,2,60,15,,
201290,SM,1,CSE,COS,104,10834,Comput & Culture-Appl/Cont,1500,1550,F,NS,123,A,Jeffry Cramer,0,0,0,0,,
201290,SM,1,CSE,COS,104,10834,Comput & Culture-Appl/Cont,1500,1550,W,EULER,109,A,Jeffry Cramer,2,2,60,47,,
201290,SM,1,CSE,COS,120,10113,Intro Computational Prob Solv,1300,1350,MWF,EULER,201,A,Arthur White,4,4,28,2,,
201290,SM,1,CSE,COS,120,10119,Intro Computational Prob Solv,1100,1150,MWF,EULER,201,A,Arthur White,4,4,28,6,,
201290,SM,1,CSE,COS,120L,10114,Computational Prob Solvg Lab I,800,950,T,EULER,201,B,Arthur White,0,0,22,1,,
201290,SM,1,CSE,COS,120L,10115,Computational Prob Solvg Lab I,1000,1150,T,EULER,201,B,Arthur White,0,0,22,8,,
201290,SM,1,CSE,COS,120L,10116,Computational Prob Solvg Lab I,1200,1350,T,EULER,201,B,Arthur White,0,0,22,16,,
201290,SM,1,CSE,COS,120L,10117,Computational Prob Solvg Lab I,1400,1550,T,EULER,201,B,Arthur White,0,0,22,15,,
201290,SM,1,CSE,COS,121,13052,Foundations Computer Science,1400,1450,MWF,EULER,201,A,Jonathan Geisler,4,4,40,31,,
201290,SM,1,CSE,COS,121L,13054,Found of Computer Science Lab,1000,1150,R,EULER,201,B,Jonathan Geisler,0,0,20,11,,
201290,SM,1,CSE,COS,143,15682,Interactive Web Page Design,900,950,MWF,EULER,201,A,Jennifer Shivers,3,3,25,0,,YES
201290,SM,1,CSE,COS,230,13293,Missions Technology,1230,1350,TR,EULER,108,A,Thomas Nurkkala,3,3,20,6,,
201290,SM,1,CSE,COS,243,15681,Multi-tier Web Application Dev,900,950,MWF,EULER,103,A,Jonathan Geisler,3,3,20,0,,YES
201290,SM,1,CSE,COS,265,13294,Data Structures and Algorithms,1400,1450,MWF,EULER,130,A,CSE Other,3,3,30,8,,
201290,SM,1,CSE,COS,310,10124,Current Literature Survey,930,1020,T,EULER,103,A,CSE Other,1,1,20,13,,
201290,SM,1,CSE,COS,321,15050,Ethics and Technology,1400,1520,TR,OH,,A,Jeffry Cramer,3,3,15,8,,
201290,SM,1,CSE,COS,321H,15057,Ethics and Technology-Hon,1400,1520,TR,OH,,A,Jeffry Cramer,3,3,15,11,YES,
201290,SM,1,CSE,COS,340,10626,Software Engineering,1300,1350,MWF,EULER,200,A,CSE Other,3,3,30,22,,
201290,SM,1,CSE,COS,350,15841,Computer Graphics,900,950,TR,EULER,200,A,William Toll,3,3,10,6,YES,
201290,SM,1,CSE,COS,360,15783,Unix Study,,,,,,I,Thomas Nurkkala,1,1,1,0,YES,YES
201290,SM,1,CSE,COS,371,14367,Software Studio I,1400,1550,TR,EULER,103,A,Thomas Nurkkala,4,4,12,11,YES,
201290,SM,1,CSE,COS,372,15462,Software Studio II,1400,1550,TR,EULER,103,A,Thomas Nurkkala,4,4,12,10,YES,
201290,SM,1,CSE,COS,381,15439,Computer Architecture,1500,1550,MWF,EULER,200,A,CSE Other,3,3,10,7,YES,
201290,SM,1,CSE,COS,452,14321,Research I,,,,EULER,,R,Arthur White,3,3,10,8,YES,
201290,SM,1,CSE,COS,471,14646,Software Studio III,1400,1550,TR,EULER,103,A,Thomas Nurkkala,4,4,12,11,YES,
201290,SM,1,CSE,COS,472,15155,Software Studio IV-SP,1400,1550,TR,EULER,103,A,Thomas Nurkkala,4,4,5,3,YES,
201290,SM,1,CSE,COS,491,15765,Senior Engineering Project I,1300,1350,MW,EULER,241,A,Jonathan Geisler,2,2,5,3,YES,
201290,SM,1,CSE,COS,493,14322,Comp Science Sr Capstone,1900,2100,T,EULER,103,S,Jonathan Geisler,1,1,45,31,,
201290,SM,1,CSE,SYS,101,14368,Introduction to Systems,1400,1450,MWF,NS,122,A,Felix Aguilar,3,3,30,11,,
201290,SM,1,CSE,SYS,214,14369,Princ Human Comp Interaction,1300,1350,MWF,EULER,103,A,Jennifer Shivers,3,3,25,8,,
201290,SM,1,CSE,SYS,390,10131,Information Systems Analysis,1100,1150,MWF,EULER,200,A,Thomas Nurkkala,3,3,15,-7,,YES
201290,SM,1,CSE,SYS,401,10133,Operations Research,1500,1550,MWF,NS,122,A,Felix Aguilar,3,3,35,19,,
201310,SM,1,CSE,COS,105,21016,"Ethics, Computing, and Society",1400,1450,MTWRF,EULER,200,G,Jeffry Cramer,1,1,10,5,YES,
201310,SM,1,CSE,COS,492,20631,Senior Project-SP,1500,1550,MTWRF,EULER,218,R,Arthur White,3,3,200,168,,
201310,SM,1,CSE,COS,494,21218,Senior Engineering Project II,800,950,MWF,NS,301,G,CSE Other,3,3,10,8,YES,
201310,SM,1,CSE,COS,494,21218,Senior Engineering Project II,800,1050,TR,NS,301,G,CSE Other,0,0,0,0,YES,
201310,SM,1,CSE,COS,494,21218,Senior Engineering Project II,1100,1150,MWF,NS,301,G,CSE Other,0,0,0,0,YES,
201320,SM,1,CSE,COS,104,30111,Comput & Culture-Appl/Cont,1200,1250,WF,NS,123,A,Jennifer Shivers,2,2,60,11,,
201320,SM,1,CSE,COS,104,33204,Comput & Culture-Appl/Cont,1200,1250,MF,NS,123,A,Jennifer Shivers,2,2,60,0,,YES
201320,SM,1,CSE,COS,104,34222,Comput & Culture-Appl/Cont,1500,1550,WF,NS,123,A,Jennifer Shivers,4,4,120,4,,
201320,SM,1,CSE,COS,104,34223,Comput & Culture-Appl/Cont,1500,1550,MF,NS,123,A,Jennifer Shivers,4,4,120,12,,
201320,SM,1,CSE,COS,106H,34858,Comput & Culture-Appl/Cont-Hon,1500,1550,WF,NS,123,A,Jeffry Cramer,4,4,120,106,,
201320,SM,1,CSE,COS,106H,34859,Comput & Culture-Appl/Cont-Hon,1200,1250,WF,NS,123,A,Jeffry Cramer,4,4,120,98,,
201320,SM,1,CSE,COS,120,30117,Intro Computational Prob Solv,900,950,MWF,EULER,201,A,Arthur White,4,4,24,-1,,YES
201320,SM,1,CSE,COS,120,35180,Intro Computational Prob Solv,1100,1150,MWF,EULER,201,A,Arthur White,4,4,24,3,,
201320,SM,1,CSE,COS,120,30118,Computational Prob Solv Lab,800,950,T,EULER,201,B,Arthur White,0,0,16,6,,
201320,SM,1,CSE,COS,120L,30119,Computational Prob Solv Lab,1200,1350,T,EULER,201,B,Arthur White,0,0,16,6,,
201320,SM,1,CSE,COS,120L,31248,Computational Prob Solv Lab,1400,1550,T,EULER,201,B,Arthur White,0,0,16,4,,
201320,SM,1,CSE,COS,120L,35532,Computational Prob Solv Lab,1000,1150,T,EULER,201,B,Arthur White,0,0,16,2,,
201320,SM,1,CSE,COS,121,32877,Foundations Computer Science,1400,1450,MWF,EULER,201,A,Siegfried Brandle,4,4,35,11,,
201320,SM,1,CSE,COS,121L,32879,Foundations Computer Sci Lab,800,950,R,EULER,201,B,Siegfried Brandle,0,0,20,15,YES,
201320,SM,1,CSE,COS,121L,32880,Foundations Computer Sci Lab,1000,1150,R,EULER,201,B,Siegfried Brandle,0,0,20,1,,
201320,SM,1,CSE,COS,143,35207,Interactive Web Page Design,1300,1350,MWF,EULER,201,A,Jennifer Shivers,3,3,25,-6,,YES
201320,SM,1,CSE,COS,280,30122,Intro Artificial Intellig-SP,900,950,MWF,EULER,218,A,Siegfried Brandle,3,3,25,11,,
201320,SM,1,CSE,COS,284,33206,Intro to Computer Systems,1100,1150,MWF,EULER,200,A,Thomas Nurkkala,3,3,25,-4,,YES
201320,SM,1,CSE,COS,311,33207,Ethics in Computer Science,1600,1650,TR,EULER,200,A,Jeffry Cramer,1,1,15,-2,,YES
