"
Term","
School","Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",Cred Hrs,Load,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201390,SS,1,ELT,ESL,101,15787,English Grammar,1100,1150,TR,READE,127,A,Janice Schmidt,3,3,15,6,,
201390,SS,1,ELT,ESL,103,15789,Class Audit,1700,1750,M,ZON,203,A,Jack Peterson,3,3,15,11,YES,
201390,SS,1,ELT,ESL,106,15837,American Pop Culture,1400,1450,MF,ZON,109B,A,Amy Peterson,3,3,11,3,,
201390,SS,1,ELT,ESL,109,16196,Academic Presentation Skills,1400,1450,W,READE,119,A,Jack Peterson,3,3,10,-3,,YES
201390,SS,1,ELT,ESL,109,16196,Academic Presentation Skills,1800,1850,M,READE,119,A,Kirsten Regier,3,3,10,-3,,YES
201390,SS,1,ELT,ESL,110,15790,Academic Reading and Writing,1300,1450,TR,ZON,203,A,Janice Schmidt,4,4,15,11,YES,
201390,SS,1,ELT,ESL,111,15791,Academic Listening/Speaking,1500,1550,MTRF,ZON,203,A,Geoffrey Hoffmann,4,4,15,11,YES,
201390,SS,1,ELT,ESL,200,15792,Adv Acad Language Skills,1600,1715,TR,ZON,203,A,Amy Peterson,3,3,15,6,,
201390,SS,1,ELT,ESL,201,15793,The American Classroom,1100,1150,MWF,READE,120,A,Jack Peterson,3,3,15,2,,
201390,SS,1,ELT,TSL,201,14219,Introduction to TESOL,1400,1450,MWF,READE,120,A,Renata Kantaruk,3,3,25,13,,
201390,SS,1,ELT,TSL,212,15961,Adult ESL Literacy Development,1700,1750,T,READE,120,A,Renata Kantaruk,3,3,20,16,YES,
201390,SS,1,ELT,TSL,302,14663,Language and Culture,1500,1615,MW,READE,120,A,Kirsten Regier,3,3,25,12,,
201390,SS,1,ELT,TSL,303,14221,Methods of TESOL,1300,1350,MWF,READE,120,A,Jack Peterson,3,3,20,17,YES,
201390,SS,1,ELT,TSL,303L,14406,Methods of TESOL Lab,800,1200,R,TBD,TBD,B,Jack Peterson,3,3,5,3,YES,
201390,SS,1,ELT,TSL,303L,15460,Methods of TESOL Lab,1700,2200,T,READE,119,B,Jack Peterson,3,3,10,9,YES,
201390,SS,1,ELT,TSL,305,14222,Pedagogical Grammar TESOL,1500,1615,TR,READE,120,A,Renata Kantaruk,3,3,25,16,,
201410,SS,1,ELT,ESL,103,21226,Class Audit,1700,1750,M,ZON,201,A,Jack Peterson,3,3,15,10,YES,
201420,SS,1,ELT,ESL,100,35987,ESL Orientation,1500,1550,W,ZON,201,A,Jack Peterson,1,1,5,2,YES,
201420,SS,1,ELT,ESL,103,35521,Class Audit,1700,1750,M,READE,120,A,Jack Peterson,3,3,15,8,,
201420,SS,1,ELT,ESL,104,35522,Advanced Academic Vocabulary,930,1020,TR,READE,120,A,Janice Schmidt,2,2,15,7,,
201420,SS,1,ELT,ESL,105,35523,American English Pronunciation,900,950,MW,READE,120,A,Jack Peterson,2,2,15,4,,
201420,SS,1,ELT,ESL,110,35524,Academic Reading and Writing,1230,1420,TR,ZON,201,A,Janice Schmidt,4,4,15,13,YES,
201420,SS,1,ELT,ESL,111,35525,Academic Listening/Speaking,1530,1620,MTRF,ZON,204,A,Geoffrey Hoffmann,4,4,15,13,YES,
201420,SS,1,ELT,ESL,111,36056,IS Academic Listening/Speaking,,,,TBD,TBD,I,Geoffrey Hoffmann,4,1,1,0,YES,YES
201420,SS,1,ELT,ESL,200,35526,Adv Acad Language Skills,1600,1715,TR,ZON,203,A,Amy Peterson,3,3,15,9,,
201420,SS,1,ELT,ESL,201,35527,The American Classroom,1600,1650,MWF,ZON,203,A,Jack Peterson,3,3,15,7,,
201420,SS,1,ELT,TSL,201,33911,Introduction to TESOL,1400,1450,MWF,READE,120,A,Renata Kantaruk,3,3,25,6,,
201420,SS,1,ELT,TSL,303,33913,Methods of TESOL,1100,1150,MWF,READE,120,A,Jack Peterson,3,3,20,10,,
201420,SS,1,ELT,TSL,303L,34061,Methods of TESOL Lab,1100,1600,R,TBD,TBD,B,Jack Peterson,3,3,10,9,YES,
201420,SS,1,ELT,TSL,303L,34062,Methods of TESOL Lab,1700,2200,T,TBD,TBD,B,Jack Peterson,3,3,10,1,,
201420,SS,1,ELT,TSL,303L,35273,Methods of TESOL Lab,,,,TBD,TBD,B,Jack Peterson,3,3,10,10,YES,
201420,SS,1,ELT,TSL,304,33914,Second Language Acquisition,1500,1615,MW,READE,120,A,Kirsten Regier,3,3,25,12,,
201420,SS,1,ELT,TSL,305,35281,Pedagogical Grammar in TESOL,1500,1615,TR,READE,120,A,Renata Kantaruk,3,3,20,12,,
201490,SS,1,ELT,ESL,100,16356,ESL Orientation,1500,1550,W,READE,118,A,Jack Peterson,3,3,5,2,YES,
201490,SS,1,ELT,ESL,101,15787,English Grammar,1400,1450,TR,READE,120,A,Janice Schmidt,3,3,15,11,YES,
201490,SS,1,ELT,ESL,103,15789,Class Audit,1700,1750,M,READE,120,A,Jack Peterson,3,3,15,11,YES,
201490,SS,1,ELT,ESL,106,15837,American Pop Culture,1700,1750,TR,READE,120,A,Amy Peterson,3,3,11,4,,
201490,SS,1,ELT,ESL,107,16534,IS Acad Listening Strategies,,,,TBD,TBD,I,Jack Peterson,3,3,1,0,YES,YES
201490,SS,1,ELT,ESL,108,16533,IS Acad Reading Strategies,,,,TBD,TBD,I,Jack Peterson,3,3,2,0,YES,YES
201490,SS,1,ELT,ESL,110,15790,Academic Reading and Writing,1300,1350,MTRF,AYRES,112,A,Jack Peterson,4,4,15,13,YES,
201490,SS,1,ELT,ESL,111,15791,Academic Listening/Speaking,1200,1315,W,ZON,203,A,ELT Adjunct,4,4,0,0,YES,
201490,SS,1,ELT,ESL,111,15791,Academic Listening/Speaking,1400,1515,MF,ZON,203,A,ELT Adjunct,4,4,15,13,YES,
201490,SS,1,ELT,ESL,200,15792,Adv Acad Language Skills,1530,1645,TR,ZON,203,A,Janice Schmidt,3,3,15,9,,
201490,SS,1,ELT,ESL,201,15793,The American Classroom,1600,1650,MWF,AYRES,212,A,Jack Peterson,3,3,15,8,,
201490,SS,1,ELT,TSL,201,14219,Introduction to TESOL,1400,1450,MWF,READE,120,A,Renata Kantaruk,3,3,25,13,,
201490,SS,1,ELT,TSL,211,16315,Teaching Eng Internationally,1700,1750,T,READE,118,A,Charles Brainer,3,3,20,10,,
201490,SS,1,ELT,TSL,302,14663,Language and Culture,1500,1615,MW,READE,120,A,Kirsten Regier,3,3,25,17,,
201490,SS,1,ELT,TSL,305,14222,Pedagogical Grammar TESOL,1500,1615,TR,READE,120,A,Renata Kantaruk,3,3,25,21,YES,
201510,SS,1,ELT,ESL,103,21226,Class Audit,1700,1750,M,READE,120,A,Jack Peterson,3,3,,,,
201520,SS,1,ELT,ESL,100,35987,ESL Orientation,1400,1450,W,ZON,201,A,Jack Peterson,1,1,5,5,YES,
201520,SS,1,ELT,ESL,103,35521,Class Audit,1700,1750,M,READE,120,A,Jack Peterson,3,3,15,15,YES,
201520,SS,1,ELT,ESL,104,35522,Advanced Academic Vocabulary,1400,1450,TR,READE,119,A,Janice Schmidt,2,2,15,15,YES,
201520,SS,1,ELT,ESL,105,35523,American English Pronunciation,1300,1350,MW,READE,120,A,Jack Peterson,2,2,15,15,YES,
201520,SS,1,ELT,ESL,110,35524,Academic Reading and Writing,900,950,MTWF,TBD,TBD,A,Jack Peterson,4,4,15,15,YES,
201520,SS,1,ELT,ESL,111,35525,Academic Listening/Speaking,1530,1620,MTWF,ZON,204,A,Geoffrey Hoffmann,4,4,15,15,YES,
201520,SS,1,ELT,ESL,200,35526,Adv Acad Language Skills,1530,1645,TR,READE,118,A,Janice Schmidt,3,3,15,15,YES,
201520,SS,1,ELT,ESL,201,35527,The American Classroom,1600,1650,MWF,READE,119,A,Jack Peterson,3,3,15,15,YES,
201520,SS,1,ELT,TSL,201,33911,Introduction to TESOL,1400,1450,MWF,READE,120,A,Renata Kantaruk,3,3,25,25,YES,
201520,SS,1,ELT,TSL,210,36229,Teach Eng Lang Learn P-12 Clas,1800,2100,R,READE,120,S,Wendy Long,1,1,20,20,YES,
201520,SS,1,ELT,TSL,302,36057,Language and Culture,800,915,MW,READE,120,A,Kirsten Regier,3,3,25,25,YES,
201520,SS,1,ELT,TSL,303,33913,Methods of TESOL,1100,1150,MWF,READE,120,A,Jack Peterson,3,3,20,20,YES,
201520,SS,1,ELT,TSL,303L,35273,Methods of TESOL Lab,,,,TBD,TBD,B,Jack Peterson,0,0,10,10,YES,
201520,SS,1,ELT,TSL,304,33914,Second Language Acquisition,1500,1615,MW,READE,120,A,Kirsten Regier,3,3,25,25,YES,
201520,SS,1,ELT,TSL,305,35281,Pedagogical Grammar in TESOL,1500,1615,TR,READE,120,A,Renata Kantaruk,3,3,20,20,YES,
