,"
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED"
201490,NS,1,KIN,EXS,111,16412,Foundations Exercise Science,900,950,MWF,EAW,108,A,Erik Hayes,3,3,30,0,,YES
201490,NS,1,KIN,EXS,213,16508,IS Substance Education,,,,,,I,Jeffrey Marsee,2,2,1,0,YES,YES
201490,NS,1,KIN,EXS,214,16419,Health and Sexuality,800,850,MWF,EAW,109,A,KIN Adjunct,3,3,20,13,,
201490,NS,1,KIN,EXS,215,16420,"Health, Exercise & Aging",1400,1450,MW,EAW,108,A,Jeffrey Marsee,2,2,20,4,,
201490,NS,1,KIN,EXS,273,16582,Intro Exercise Sci Research,,,,,,R,Erik Hayes,1,1,5,3,YES,
201490,NS,1,KIN,EXS,273,16612,Intro Exercise Sci Research,,,,,,R,Matthew Renfrow,1,1,2,0,YES,YES
201490,NS,1,KIN,EXS,280,16442,Exercise Techniques Phys Fit,800,850,TR,EAW,108,B,Matthew Renfrow,1,1,12,0,,YES
201490,NS,1,KIN,EXS,280,16445,Exercise Techniques Phys Fit,800,850,TR,EAW,108,B,Matthew Renfrow,1,1,12,3,,
201490,NS,1,KIN,EXS,316,16424,Applied Nutrition,1200,1250,MWF,EAW,109,A,Erik Hayes,3,3,20,0,,YES
201490,NS,1,KIN,EXS,317,16425,EKG & Stress Testing,1100,1150,TR,EAW,109,A,Erik Hayes,2,2,18,2,,
201490,NS,1,KIN,EXS,346,16509,IS Community Health,,,,,,I,Jeffrey Marsee,3,3,1,0,YES,YES
201490,NS,1,KIN,EXS,353,16427,Physical Fitness Assessment,1230,1345,TR,EAW,109,G,Matthew Harber,3,3,12,0,,YES
201490,NS,1,KIN,EXS,381,16430,Kinesiology,1300,1350,MWF,EAW,108,A,Jeffrey Marsee,3,3,20,1,,
201490,NS,1,KIN,EXS,382,16431,Physiology of Exercise-SP,1300,1350,MWF,EAW,109,A,Matthew Harber,3,3,20,6,,
201490,NS,1,KIN,EXS,393,16433,EXS Practicum B,,,,,,P,Jeffrey Marsee,1,1,20,19,YES,
201490,NS,1,KIN,EXS,402,16434,Admin of Human Perform-SP,1200,1250,MWF,EAW,108,A,Donald Taylor,3,3,20,7,,
201490,NS,1,KIN,EXS,410,16510,IS Pharmacotherapy in Exer Sci,,,,,,I,Erik Hayes,1,1,1,0,YES,YES
201490,NS,1,KIN,EXS,450,16511,Directed Research,,,,,,R,Matthew Harber,1,1,4,0,YES,YES
201490,NS,1,KIN,EXS,450,16586,Directed Research,,,,,,R,Erik Hayes,1,1,3,0,YES,YES
201490,NS,1,KIN,EXS,453,16435,Physical Fitness Prescription,800,850,MWF,EAW,108,G,Matthew Renfrow,3,3,20,14,,
201490,NS,1,KIN,EXS,482,16436,Adv Physiology of Exercise,1300,1350,MWF,OG,205,G,Matthew Renfrow,3,3,18,-2,,YES
201490,NS,1,KIN,KIN,100,16406,Fitness for Life,900,950,MW,OG,205,G,Matthew Renfrow,2,2,25,0,,YES
201490,NS,1,KIN,KIN,100,16407,Fitness for Life,1300,1350,MW,OG,219,G,Bruce Pratt,2,2,25,2,,
201490,NS,1,KIN,KIN,100,16408,Fitness for Life,1230,1320,TR,OG,205,G,Bruce Pratt,2,2,25,1,,
201490,NS,1,KIN,KIN,100,16409,Fitness for Life,1400,1450,TR,EAW,108,G,Bruce Pratt,2,2,25,0,,YES
201490,NS,1,KIN,KIN,100,16410,Fitness for Life,1200,1250,MW,OG,205,G,Bradford Zarges,2,2,25,2,,
201490,NS,1,KIN,KIN,100,16411,Fitness for Life,1100,1150,MW,OG,205,G,Matthew Renfrow,2,2,25,0,,YES
201490,NS,1,KIN,KIN,100,16535,Fitness for Life,800,850,MW,OG,205,G,KIN Adjunct,2,2,25,1,,
201490,NS,1,KIN,KIN,200FN,16413,Functional Fitness,1230,1320,TR,KSAC,110 TRACK,G,Erik Hayes,1,1,20,6,,
201490,NS,1,KIN,KIN,200H,16414,Beginning Horsemanship,1700,2000,T,STB,STABLES,G,KIN Adjunct,1,1,10,-1,,YES
201490,NS,1,KIN,KIN,200I,16415,Individualized Physical Edu,,,,,,G,Amy Stucky,1,1,5,4,YES,
201490,NS,1,KIN,KIN,200M,16443,Challenge Course Adventures,1230,1500,R,KSAC,110,G,KIN Adjunct,1,1,12,0,,YES
201490,NS,H2,KIN,KIN,200PB,16444,Pickleball,1400,1450,MWF,KSAC,110,G,Bruce Pratt,1,1,18,1,,
201490,NS,,KIN,KIN,200S,16437,Soccer,1100,1150,MWF,KSAC,110,G,KIN Adjunct,1,1,24,1,,
201490,NS,,KIN,KIN,200SB,16438,Beginning Swimming,800,850,MWF,EAW,POOL,G,Bradford Zarges,1,1,12,2,,
201490,NS,,KIN,KIN,200SF,16416,Fitness Swimming,800,850,TR,EAW,POOL,G,Bradford Zarges,1,1,16,6,,
201490,NS,,KIN,KIN,200T,16439,Tennis,1500,1550,MWF,KSAC,110,G,Donald Taylor,1,1,24,4,,
201490,NS,,KIN,KIN,200W,16440,Weight Training,900,950,MWF,FH,CARLSON RM,G,Gregory Wolfe,1,1,18,7,,
201490,NS,,KIN,KIN,200Z,16417,Athletic Participation,,,,,,G,Scott Stan,1,1,80,3,,
201490,NS,,KIN,KIN,220,16421,Principles of Coaching,1100,1150,MTWF,EAW,108,A,Donald Taylor,4,4,20,0,,YES
201490,NS,,KIN,KIN,221,16454,Exercise as Medicine,1100,1150,MWF,EAW,109,A,Matthew Harber,3,3,25,6,,
201490,NS,,KIN,KIN,223,16453,Emergency Health Care,1230,1345,TR,EAW,108,A,Jeffrey Marsee,3,3,20,1,,
201490,NS,,KIN,KIN,250,16423,Elem School Health & Phys Ed,900,950,MWF,EAW,109,G,Jeffrey Marsee,2,2,24,17,,
201490,NS,,KIN,KIN,271,16441,CPR for Healthcare Providers,1400,1450,TR,KSAC,111,G,Jeffrey Marsee,1,1,8,-1,,YES
201490,NS,,KIN,KIN,345,16426,Challenge Crse Facilitator Cer,,,,,,G,KIN Adjunct,1,1,0,0,YES,
201490,NS,,KIN,KIN,355,16429,Research Methods-SP,1400,1515,TR,EAW,109,A,Matthew Harber,3,3,18,0,,YES
201490,NS,,KIN,KIN,393A,16503,Sport Management Practicum A,,,,,,P,Gregory Wolfe,1,1,1,0,YES,YES
201490,NS,,KIN,KIN,393B,16601,Sport Management Practicum B,,,,,,P,Gregory Wolfe,1,1,0,0,YES,
201490,NS,,KIN,KIN,450,16540,Directed Research,,,,,,R,Erik Hayes,2,2,1,0,YES,YES
201490,NS,,KIN,KIN,450,16610,Directed Research,,,,,,R,Matthew Harber,2,2,1,0,YES,YES
201490,NS,,KIN,KIN,492,16405,Internship,,,,,,F,Donald Taylor,4,4,10,10,YES,
201490,NS,,KIN,SMA,115,16455,Intro to Sport Management,800,850,TR,OG,205,A,Donald Taylor,2,2,24,14,,
201490,NS,,KIN,SMA,354,16428,Sport Finance,800,850,MWF,FH,CLASS ROOM,A,Gregory Wolfe,3,3,20,5,,
201490,NS,,KIN,SMA,430,16517,IS Legal Issues in Sport,,,,,,I,Donald Taylor,2,2,1,0,YES,YES
201510,NS,1,KIN,EXS,393,21398,Practicum,,,,,,P,Jeffrey Marsee,1,1,5,5,YES,
201510,NS,1,KIN,EXS,318,21397,Therapeutic Exercise & Pharm,1200,1440,MTWRF,EAW,109,A,Erik Hayes,3,3,15,15,YES,
201520,NS,1,KIN,EXS,393,36122,Practicum,,,,,,P,Jeffrey Marsee,1,1,10,10,YES,
201520,NS,1,KIN,EXS,453,36172,Physical Fitness Prescription,800,850,MWF,EAW,108,G,Matthew Renfrow,3,3,15,15,YES,
201520,NS,H1,KIN,EXS,280,36175,Exercise Techniques Phys Fit,800,850,TR,EAW,108,B,Matthew Renfrow,1,1,12,12,YES,
201520,NS,H2,KIN,EXS,280,36181,Exercise Techniques Phys Fit,800,850,TR,EAW,108,B,Matthew Renfrow,1,1,12,12,YES,
201520,NS,1,KIN,EXS,111,36137,Foundations Exercise Science,900,950,MWF,EAW,108,A,Erik Hayes,3,3,30,30,YES,
201520,NS,1,KIN,EXS,402,36165,Admin of Human Performance-SP,1100,1150,MWF,EAW,108,A,Donald Taylor,3,3,20,20,YES,
201520,NS,1,KIN,EXS,346,36237,Community Health,1230,1345,TR,EAW,108,G,Jeffrey Marsee,3,3,20,20,YES,
201520,NS,1,KIN,EXS,381,36161,Kinesiology,1300,1350,MWF,EAW,108,A,Jeffrey Marsee,3,3,20,20,YES,
201520,NS,1,KIN,EXS,318,36155,Therapeutic Exercise & Pharm,1100,1150,MWF,EAW,109,A,Erik Hayes,3,3,15,15,YES,
201520,NS,1,KIN,EXS,353,36236,Physical Fitness Assessment,1100,1215,TR,EAW,109,G,Matthew Harber,3,3,12,12,YES,
201520,NS,1,KIN,EXS,316,36154,Applied Nutrition,1200,1250,MWF,EAW,109,A,Erik Hayes,3,3,20,20,YES,
201520,NS,1,KIN,EXS,353,36159,Physical Fitness Assessment,1230,1345,TR,EAW,109,G,Matthew Harber,3,3,12,12,YES,
201520,NS,1,KIN,EXS,382,36162,Physiology of Exercise-SP,1300,1350,MWF,EAW,109,A,Matthew Harber,3,3,18,18,YES,
201520,NS,1,KIN,EXS,328,36156,Prin Strength Train/Cond,1400,1450,MWF,EAW,109,G,Matthew Renfrow,3,3,18,18,YES,
201520,NS,1,KIN,EXS,217,36239,Wellness Programs,1830,2100,M,EAW,109,A,KIN Adjunct,3,3,20,20,YES,
201520,NS,H1,KIN,EXS,280,36175,Exercise Techniques Phys Fit,800,850,TR,KSAC,110 TRACK,B,Matthew Renfrow,0,0,0,0,YES,
201520,NS,H2,KIN,EXS,280,36181,Exercise Techniques Phys Fit,800,850,TR,KSAC,110 TRACK,B,Matthew Renfrow,0,0,0,0,YES,
201510,NS,1,KIN,KIN,492,21399,Internship,,,,,,F,Donald Taylor,4,4,5,5,YES,
201510,NS,1,KIN,KIN,200SB,21392,Beginning Swimming,800,850,MTWRF,EAW,POOL,G,Bradford Zarges,1,1,12,12,YES,
201510,NS,1,KIN,KIN,200U,21393,Circuit Training,800,850,MTWRF,KSAC,110 TRACK,G,Gregory Wolfe,0,0,0,0,YES,
201510,NS,1,KIN,KIN,200AW,21389,Aerobic Walking,1300,1350,MTWRF,KSAC,110 TRACK,G,Amy Stucky,1,1,40,40,YES,
201510,NS,1,KIN,KIN,200U,21393,Circuit Training,800,850,MTWRF,KSAC,111,G,Gregory Wolfe,1,1,18,18,YES,
201510,NS,1,KIN,KIN,200U,21393,Circuit Training,800,850,MTWRF,OG,201,G,Gregory Wolfe,0,0,0,0,YES,
201510,NS,1,KIN,KIN,200V,21394,Volleyball,845,945,MTWR,OG,GYM,G,KIN Adjunct,1,1,24,24,YES,
201520,NS,1,KIN,KIN,100,36129,Fitness for Life,800,850,TR,,,G,KIN Adjunct,2,2,25,25,YES,
201520,NS,1,KIN,KIN,223,36223,Emergency Health Care,900,950,MWF,,,A,Jeffrey Marsee,3,3,20,20,YES,
