"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED"
201290,PS,1,PHP,PHP,100,10575,Fitness for Life,1230,1320,TR,EAW,108,G,Matthew Renfrow,2,2,25,1,,
201290,PS,1,PHP,PHP,100,10576,Fitness for Life,1100,1150,MW,OG,205,G,Paul Patterson,2,2,25,0,,YES
201290,PS,1,PHP,PHP,100,10577,Fitness for Life,900,950,MW,OG,205,G,Kevin Carlson,2,2,25,0,,YES
201290,PS,1,PHP,PHP,100,10578,Fitness for Life,1100,1150,MW,OG,219,G,Jonathan Meneely,2,2,25,0,,YES
201290,PS,1,PHP,PHP,100,10579,Fitness for Life,1200,1250,MW,OG,205,G,Kevin Carlson,2,2,25,0,,YES
201290,PS,1,PHP,PHP,100,10580,Fitness for Life,1300,1350,TR,OG,219,G,Kevin Carlson,2,2,25,0,,YES
201290,PS,1,PHP,PHP,100,10582,Fitness for Life,1400,1450,TR,EAW,109,G,Bruce Pratt,2,2,25,0,,YES
201290,PS,1,PHP,PHP,100,10584,Fitness for Life,1100,1150,TR,EAW,108,G,Tanya Cordial,2,2,25,0,,YES
201290,PS,1,PHP,PHP,100,10585,Fitness for Life,1400,1450,MW,EAW,108,G,Jonathan Meneely,2,2,25,0,,YES
201290,PS,1,PHP,PHP,100,14502,Fitness for Life,1400,1450,TR,OG,219,G,Matthew Renfrow,2,2,25,0,,YES
201290,PS,1,PHP,PHP,111,10602,Intro to Human Performance,900,950,MWF,EAW,108,A,Bruce Pratt,3,3,30,1,,
201290,PS,1,PHP,PHP,200FN,14797,Functional Fitness,1100,1150,TR,KSAC,111,G,Kevin Carlson,1,1,18,-5,,YES
201290,PS,1,PHP,PHP,200H,12248,Beginning Horsemanship,1700,2000,T,STB,STABLES,G,Maggie Boyle,1,1,10,2,,
201290,PS,1,PHP,PHP,200I,11250,Individualized Physical Educ,,,,,,G,Amy Stucky,1,1,5,2,YES,
201290,PS,1,PHP,PHP,200SF,15403,Fitness Swimming,800,850,TR,EAW,POOL,G,Bradford Zarges,1,1,16,2,,
201290,PS,1,PHP,PHP,200SF,15693,Fitness Swimming,800,850,MW,EAW,POOL,G,Bradford Zarges,1,1,16,9,,
201290,PS,1,PHP,PHP,200WA,14652,Well Aerobics,800,850,TR,KSAC,107 WELL,G,Kevin Carlson,1,1,18,-2,,YES
201290,PS,1,PHP,PHP,200Z,14599,Athletic Participation,,,,,,G,Jeffrey Stan,1,1,80,14,,
201290,PS,1,PHP,PHP,210,15778,Human Performance Technology,,,,,,I,Donald Taylor,1,1,1,0,YES,YES
201290,PS,1,PHP,PHP,214,15683,Health and Sexuality,800,850,MWF,OG,205,A,Jacqueline Swan,3,3,20,3,,
201290,PS,1,PHP,PHP,215,15742,"Health, Exercise & Aging",,,,,,I,Jeffrey Marsee,2,2,1,-2,YES,YES
201290,PS,1,PHP,PHP,220,15684,Principles of Coaching,1100,1150,MTWF,EAW,109,A,Donald Taylor,4,4,20,0,,YES
201290,PS,1,PHP,PHP,225,14653,Care/Prevention Ath Injuries,900,950,MWF,OG,219,G,Tanya Cordial,3,3,20,3,,
201290,PS,1,PHP,PHP,250,14655,Elem School Health & Phys Ed,1100,1150,MWF,EAW,108,G,Jeffrey Marsee,2,2,40,20,,
201290,PS,1,PHP,PHP,252,15728,Methods of Teaching Elem PE,1200,1250,MWF,OG,219,G,Tena Krause,3,3,20,16,YES,
201290,PS,1,PHP,PHP,275,15734,Meth Sport Skills/Activities,,,,,,I,Tena Krause,3,3,2,2,YES,
201290,PS,1,PHP,PHP,280,15745,Exercise Techniques Phys Fit,800,850,T,EAW,108,B,Matthew Renfrow,1,1,20,-1,,YES
201290,PS,1,PHP,PHP,301,15685,Methods of Teaching Sec Health,900,950,MWF,EAW,109,A,Jeffrey Marsee,3,3,24,19,YES,
201290,PS,1,PHP,PHP,316,14377,Applied Nutrition,1200,1250,MWF,EAW,109,A,Erik Hayes,3,3,20,0,,YES
201290,PS,1,PHP,PHP,345,12257,Challenge Crse Facilitator Cer,1230,1500,R,KSAC,110 CRT 1,G,Anthony Wormgoor,0,0,0,0,,YES
201290,PS,1,PHP,PHP,346,15743,Public and Community Health,,,,,,I,Jeffrey Marsee,3,3,1,0,YES,YES
201290,PS,1,PHP,PHP,353,14660,Physical Fitness Assessment,1230,1345,TR,EAW,109,G,Erik Hayes,0,0,12,-3,,YES
201290,PS,1,PHP,PHP,354,15689,Sport Finance,800,850,MWF,EAW,109,A,Gregory Wolfe,3,3,20,9,,
201290,PS,1,PHP,PHP,355,15672,Research Meth Exercise Sci-SP,1400,1515,TR,EAW,108,A,Kevin Carlson,3,3,35,2,,
201290,PS,1,PHP,PHP,364,15690,Coaching of Baseball,1230,1320,TR,OG,205,A,Kyle Gould,2,2,20,11,,
